reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
c06b02b4-7f2f-40af-963c-3c50a46f482f,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Muito bom e facil de usar, é uma pena que faltam varios aplicativos disponiveis como exemplo pensando nas redes sociais onde você consiga responder também as notificações, nao somente visualiza las",5,0,,2019-01-03 23:32:35,,,
189298be-8519-4853-b09a-dca69bd99e84,Angeferson Fernandes,https://play-lh.googleusercontent.com/a-/AD_cMMQFsALTBOASaBope0npkVnt245yUEQTBhhErrf-vn9-T4M,"Estou gostando muito de utilizar a pulseira e este app. Têm me ajudado bastante no dia a dia, com a dieta, treino e até como dormir melhor, além de ser um relógio muito funcional. 👍🏽",5,0,2.2.47.21122061,2022-03-03 05:58:03,,,2.2.47.21122061
78252c96-2541-4779-81a6-aa7b1a333adf,Claudia Rebelo,https://play-lh.googleusercontent.com/a-/AD_cMMTm6hbkRilt5zjkyXFNgcHChL1iQCY4-oUBMvZNgCDanq4,"Muito fácil e intuitivo de usar. Já havia feito avaliação e continuo achando muito bom, só gostaria que tivesse mais visores grátis!",5,1,2.2.42.21083061,2021-09-20 13:27:30,,,2.2.42.21083061
e26cc2d9-11ab-4d55-bc85-db034275bbdf,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Foi muito alem das minhas expectativas esse aplicativo. Muito prático, compacto,objetivo e super fácil de usar. Parabéns aos desenvolvedores. Escolhi a Samsung e não me arrependo!!",5,1,2.2.27.19083061,2019-11-15 16:53:04,,,2.2.27.19083061
04492c00-bd35-43c3-8dd5-b814cea785d8,Nonato Junior,https://play-lh.googleusercontent.com/a-/AD_cMMROEJcikCMx1ti35wWTXkF3UqXjEu4YLIWhWKTvVLs2LFl8,Já é a terceira geração de Smart Watch que tenho da Samsung. E adoro. É um acessório e tanto e cada vez melhor! Uma mão na roda na academia e no monitoramento das suas atividades.,5,0,2.2.39.21052561,2021-07-05 21:54:33,,,2.2.39.21052561
d2a5b2fd-6f97-4964-9028-0c698f4168c6,Breno S. Leal,https://play-lh.googleusercontent.com/a-/AD_cMMTODygQVc8OG9tjoD9hBp3ZchQZhdYXNMZNBYguTOSJ98s,Conexão e atualização muito fácil e rápida. Foi só instalar o app e ligar meu relógio para conectar em segundos!,5,0,2.2.50.22072061,2022-10-06 14:54:45,,,2.2.50.22072061
8c97b46c-66f1-4489-a85d-0b9aab8a18e8,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Uma pena não permitir conexão com celular de 1,5 GB de RAM como indicado no site! tive que trocar o celular... Só vai funcionar se o seu celular tiver 1,5 GB de RAM livre!!!",5,1,2.2.24.19031361,2019-05-04 16:37:13,,,2.2.24.19031361
4cd53211-fe36-419c-b7af-a6d1b18bacbf,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Adoro o app, através dele posso customizar meu relógio e ver a quantidade de bateria e o progresso de carregamento a distância via conexão remota.",5,2,2.2.27.19083061,2019-11-09 14:26:57,,,2.2.27.19083061
63a6fa7c-da63-41c0-ae66-839cfce07468,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Bem legal, bom funcionamento, bateria dura bastante, as vezes até 3 dias. Só gostaria que tivesse a função de medir pressão arterial.",5,0,2.2.28.19120361,2020-01-17 17:28:36,,,2.2.28.19120361
19588a0e-557a-43ab-be99-a30847e8a561,Júlio Marques,https://play-lh.googleusercontent.com/a-/AD_cMMTOi5GpamED1FGuSL_dpZxGDgbRwN44jDtn0coYRsQATvbz,Ótimo aplicativo para gerenciar as funções dos acessórios do Samsung Galaxy . Funciona perfeitamenye no relógio e fone de ouvido.,5,1,2.2.38.21011861,2021-04-22 05:35:07,,,2.2.38.21011861
4eaddcf9-3b4d-4d84-86af-9daf2707eeb9,Iêda Ferreira,https://play-lh.googleusercontent.com/a-/AD_cMMTD0QSIC_OqTqKbx32XpSCialaQeRXFVZKxoSX2LwGn7w,"Tenho usado há pouco mais de uma semana, mas estou gostando da experiência. Gosto especialmente do registro do sono, que me ajuda a entender melhor meu ritmo e me incentiva a dormir melhor.",5,0,2.2.44.21101461,2021-11-02 06:13:53,,,2.2.44.21101461
aae15183-a84e-43bc-955e-b3cad7189fc8,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,O aplicativo é um Excelente gerenciador para os smartbands da Samsung. Parabéns aos desenvolvedores. Só gostaria que colocassem mais opções de Watch Faces para o Samsung Galaxy fit e...,5,0,2.2.27.19083061,2019-11-11 10:34:32,,,2.2.27.19083061
d636972f-6c8e-4011-b038-e005dc391763,Osmar do Prado e Silva,https://play-lh.googleusercontent.com/a-/AD_cMMQxHSRPt9eh6R07zYOOm_eWk32t0hQXWOlVdGytImlbt14,"Uso muito os controles de passos, batimentos cardíacos, km de caminhada, para meus exercícios físicos diários ou periódicos.",5,1,2.2.30.20031361,2020-05-08 09:25:42,,,2.2.30.20031361
a183787c-85bf-41b8-b22b-740170394834,Ana Barreto,https://play-lh.googleusercontent.com/a-/AD_cMMQuw08ymQepxZGMzclgz5lmJwA2H2eAQYOCVzLGu6FdQj0,Muito leve. Junto com o telefone fazem uma excelente equipa. Básico mas com excelente qualidade.,5,0,2.2.31.20061661,2020-07-20 17:55:48,,,2.2.31.20061661
544c97a5-5cbd-439b-badf-da787badd55a,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"O aplicativo é bem simples e objetivo. Não apresenta funções avançadas, mas atende bem ao uso a que se propõe.",5,0,2.2.24.19031361,2019-08-05 13:43:46,,,2.2.24.19031361
05232991-ce71-4fe7-b28c-d848f401d223,MEIRE FERREIRA JEAN,https://play-lh.googleusercontent.com/a-/AD_cMMRAU950rC4q5r7JRN4mn1cJsYSrNyTG4KJioW_j4Gr52q0,"Muito legal. Já tive várias pulseiras com seus devidos apps, mais achei muito bacana esse. Intuitivo e fácil de usar. Não sei o que esse povo que reclama quer mais. Uma coisa é certa. Esse APP é SHOW.",5,1,2.2.39.21052561,2021-06-27 17:31:05,,,2.2.39.21052561
7c2dbd24-e37d-4546-bfd5-406c15a8f584,Italo Valença,https://play-lh.googleusercontent.com/a-/AD_cMMTPhbolN4QgbVNHRbuwmlWrsuJ-u1cSKiAgFmc_eEHAwTU,"Depois dessa última atualização o celular n ta se conectando na minha Galaxy Fit2! 🤦‍♂️ Nao é de hoje que estão ME FORÇANDO migrar pra o universo apple, fica a dica! 😉 Avaliação retificada: reiniciei o device e consegui conectar! 🙌👌",5,0,2.2.48.22033061,2022-07-07 09:55:02,,,2.2.48.22033061
c7cb9a82-1430-4300-ba5b-c7419c19915e,Maria Da Conceição Magalhães,https://play-lh.googleusercontent.com/a-/AD_cMMRf-qQ3rUFwLq-AbPLHoqxiXgqXr-CmCvQXtqMNaC_skZE,"Gosto deste aplicativo: porém tem funções pela qual me alerta de avisos de chamadas, vejo as horas de vez enquando, contabliza todos os passos que eu dou, etc: isto é: desde que eu o traga sempre comigo ou no pulso!",5,1,2.2.36.20113061,2020-12-25 20:43:57,,,2.2.36.20113061
152e72c2-a421-4d24-854f-7767631fdc22,Luiz alexandre Wagner,https://play-lh.googleusercontent.com/a-/AD_cMMQ70tYJUl4iyj5CiXum8W3Ww-51lGBIOa3WsCIaqHQ-LYaq,"Estou gostando muito de todo o aplicativo, um boa experiência aliada ao gadget adquirido agora é acompanhar e ver quanto tempo a bateria aguenta.",5,0,2.2.38.21011861,2021-06-15 07:11:11,,,2.2.38.21011861
f297e8e6-8811-4eea-9e37-4b827271f2a7,Denise Moraes,https://play-lh.googleusercontent.com/a-/AD_cMMQbuUdrtGmQJAHXeF4_f2mW20HeJydI72s1dDEoVwxtwR4X,App muito fácil de usar. Todas as informações são facilmente encontradas e sincroniza rapidamente com o Samsung Health,5,1,2.2.38.21011861,2021-05-11 19:40:20,,,2.2.38.21011861
